"time","usage"
1486203111,47.2
1486203411,47.3
1486203711,47.5
1486204011,47.7
1486204311,48
1486204611,48.2
1486204911,48.1
1486205211,48.4
1486205511,48.7
1486205811,48.9
1486206111,49.1
1486206411,47.2
1486206711,47.5
1486207011,47.7
1486207311,47.7
1486207611,47.4
1486207911,47.6
1486208211,47.7
1486208511,48.1
1486208811,48.3
1486209111,48.5
1486209411,48.8
1486209711,48.8
1486210012,47.2
1486210371,47.5
1486210671,47.5
1486210971,47.8
1486211271,48
1486211571,48.3
1486211871,48.5
1486212171,48.6
1486212471,48.8
1486212771,49.1
1486213071,48.6
1486213371,48.8
1486213671,47.2
1486213971,47.5
1486214272,47.7
1486214631,48
1486214931,48.1
1486215231,48.4
1486215531,48.7
1486215831,48.7
1486216131,48.9
1486216431,49.1
1486216731,49.4
1486217031,49.4
1486217331,47.7
1486217631,47.3
1486217931,47.6
1486218231,47.7
1486218531,47.8
1486218831,48.1
1486219131,48.5
1486219432,48.6
1486219732,48.8
1486220091,49.1
1486220391,49.2
1486220691,49.4
1486220992,47.8
1486221351,47.9
1486221651,48
1486221951,48.1
1486222251,48.2
1486222551,48.5
1486222851,48.1
1486223151,48.3
1486223451,48.6
1486223751,48.9
1486224051,48.9
1486224352,49.3
1486224652,47.2
1486225011,47.6
1486225311,47.8
1486225612,47.9
1486225912,48.1
1486226212,48.2
1486226571,48.4
1486226871,48.6
1486227171,48.8
1486227471,48.9
1486227771,49.1
1486228071,49.3
1486228371,47.9
1486228671,47.6
1486228971,47.7
1486229271,47.8
1486229571,48
1486229871,48.2
1486230171,48.5
1486230471,48.5
1486230771,48.9
1486231071,49
1486231371,49.2
1486231671,49.4
1486231971,47.8
1486232271,47.9
1486232571,48.1
1486232871,48.4
1486233171,48.6
1486233471,48.8
1486233771,48.3
1486234071,48.7
1486234372,48.9
1486234731,49
1486235032,49.3
1486235392,47.5
1486235752,47.8
1486236052,47.9
1486236412,48.2
1486236771,48.3
1486237072,48.5
1486237432,48.8
1486237792,49.1
1486238151,49.4
1486238451,49.4
1486238752,49.6
1486239052,47.2
1486239352,47.4
1486239712,47.7
1486240072,48
1486240431,48.2
1486240731,48.4
1486241031,48.6
1486241332,48.8
1486241691,49
1486241991,49
1486242291,49.3
1486242591,49.5
1486242891,48.1
1486243191,48.3
1486243491,48.5
1486243791,48.7
1486244091,48.9
1486244392,49
1486244751,48.8
1486245051,48.9
1486245351,49
1486245651,49.3
1486245951,49.5
1486246251,48.2
1486246551,48
1486246851,48.2
1486247151,48.4
1486247451,48.8
1486247751,49
1486248051,49.1
1486248351,49.3
1486248651,49.4
1486248951,49.7
1486249251,49.9
1486249551,50
1486249851,50.1
1486250152,47.8
1486250452,48.1
1486250752,48.3
1486251112,48.5
1486251472,48.6
1486251772,48.8
1486252072,49
1486252432,49.5
1486252732,49.5
1486253091,49.8
1486253391,50.1
1486253691,48.5
1486253991,48.6
1486254292,48.6
1486254652,48.8
1486255012,49.3
1486255312,49.3
1486255672,49.6
1486256031,49.3
1486256331,49.5
1486256631,49.8
1486256931,49.9
1486257231,48.3
1486257531,48.6
1486257831,48.6
1486258131,48.8
